Bandit,Reward,Algorithm
3,3.2015609525829465,Epsilon-Greedy
3,4.573966959201676,Epsilon-Greedy
3,2.246426282091313,Epsilon-Greedy
3,4.095320806947719,Epsilon-Greedy
3,4.179036796548965,Epsilon-Greedy
3,4.607566864331359,Epsilon-Greedy
3,2.480820017013823,Epsilon-Greedy
3,2.31044277392173,Epsilon-Greedy
3,4.98712220012871,Epsilon-Greedy
3,4.179845418728059,Epsilon-Greedy
3,3.6651477276238866,Epsilon-Greedy
3,2.442047682323332,Epsilon-Greedy
3,3.599618639816682,Epsilon-Greedy
3,2.912219064738238,Epsilon-Greedy
3,4.92948250734477,Epsilon-Greedy
3,2.6806521108625945,Epsilon-Greedy
3,3.773754780991324,Epsilon-Greedy
3,4.81669851771357,Epsilon-Greedy
3,4.618661959709932,Epsilon-Greedy
3,3.5462556914635583,Epsilon-Greedy
3,4.6329416337934655,Epsilon-Greedy
3,4.81848473463854,Epsilon-Greedy
3,4.133847654246,Epsilon-Greedy
3,4.446639731517085,Epsilon-Greedy
3,3.7867276240342087,Epsilon-Greedy
3,5.129069437535143,Epsilon-Greedy
3,3.9195842262910072,Epsilon-Greedy
3,2.5948400776355403,Epsilon-Greedy
3,4.501033343517345,Epsilon-Greedy
3,2.9575151257728614,Epsilon-Greedy
3,5.277926829238165,Epsilon-Greedy
3,4.4125703966441225,Epsilon-Greedy
3,2.070315403685843,Epsilon-Greedy
3,4.867765024170889,Epsilon-Greedy
3,4.283032205395216,Epsilon-Greedy
3,4.713399590205446,Epsilon-Greedy
3,4.047017213123745,Epsilon-Greedy
3,5.223170950591458,Epsilon-Greedy
3,3.316568209869877,Epsilon-Greedy
3,4.919827510147663,Epsilon-Greedy
3,4.313861963470134,Epsilon-Greedy
3,2.318179674866771,Epsilon-Greedy
3,2.241401000005853,Epsilon-Greedy
3,3.6996395119113714,Epsilon-Greedy
3,3.195213083339675,Epsilon-Greedy
3,2.0663216988924398,Epsilon-Greedy
3,2.7926041683536256,Epsilon-Greedy
3,3.834276946853385,Epsilon-Greedy
3,3.1744151569825387,Epsilon-Greedy
3,6.309722755406186,Epsilon-Greedy
3,3.3361030864533343,Epsilon-Greedy
3,5.167102914383636,Epsilon-Greedy
3,5.621108557787715,Epsilon-Greedy
3,3.4824663490917755,Epsilon-Greedy
3,3.401075603440664,Epsilon-Greedy
3,3.5040309536735292,Epsilon-Greedy
3,3.8318851043747064,Epsilon-Greedy
3,3.6266007316234306,Epsilon-Greedy
3,2.826429792987875,Epsilon-Greedy
3,4.343618589535217,Epsilon-Greedy
3,3.6234473489777344,Epsilon-Greedy
3,6.357376365032708,Epsilon-Greedy
3,4.937838301566644,Epsilon-Greedy
3,3.6374649749006376,Epsilon-Greedy
3,4.583800376156291,Epsilon-Greedy
3,4.543499102789342,Epsilon-Greedy
3,5.08360965390547,Epsilon-Greedy
3,2.2514530150424736,Epsilon-Greedy
3,2.7426596995711554,Epsilon-Greedy
3,3.159091201952145,Epsilon-Greedy
3,3.9917219254499505,Epsilon-Greedy
3,0.5191911712399162,Epsilon-Greedy
3,3.1297767578564883,Epsilon-Greedy
3,5.323874803787213,Epsilon-Greedy
3,2.8681838578673045,Epsilon-Greedy
3,4.240022737685046,Epsilon-Greedy
3,4.305554320377259,Epsilon-Greedy
3,4.405617593140379,Epsilon-Greedy
3,4.715007013801141,Epsilon-Greedy
3,5.008520824778582,Epsilon-Greedy
3,5.531688801240915,Epsilon-Greedy
3,3.6296766314027034,Epsilon-Greedy
3,3.166441012720733,Epsilon-Greedy
3,4.418252554786,Epsilon-Greedy
3,4.400412029238437,Epsilon-Greedy
3,4.81775269587605,Epsilon-Greedy
3,2.510606940350694,Epsilon-Greedy
3,4.753304269077649,Epsilon-Greedy
3,2.6497515880571747,Epsilon-Greedy
3,4.266580546694937,Epsilon-Greedy
3,3.5986202426677734,Epsilon-Greedy
3,5.2089819441064655,Epsilon-Greedy
